,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,ё
ц,0,0.0,0.0,0.00034258307639602604,0.0,0.0,0.0,0.0,0.0,0.00034258307639602604,0.0,0.0,0.0,0.005481329222336417,0.0006851661527920521,0.0,0.00034258307639602604,0.0013703323055841042,0.0,0.00034258307639602604,0.003083247687564234,0.0017129153819801302,0.012332990750256937,0.0,0.0,0.00034258307639602604,0,0.0,0.0010277492291880781,0.0,0.0,0.00034258307639602604,0
ч,0,0.0,0.00034258307639602604,0.0,0.00034258307639602604,0.00034258307639602604,0.0,0.004453579993148339,0.0,0.0,0.0006851661527920521,0.0,0.0006851661527920521,0.0,0.0,0.0,0.00034258307639602604,0.006851661527920521,0.0017129153819801302,0.0,0.0,0.0,0.0006851661527920521,0.0,0.00034258307639602604,0.004453579993148339,0,0.0,0.0006851661527920521,0.0,0.0,0.0020554984583761563,0
ш,0,0.0006851661527920521,0.0075368276807125725,0.0,0.0075368276807125725,0.0,0.0,0.0,0.003083247687564234,0.0,0.0,0.0,0.0,0.011990407673860911,0.00034258307639602604,0.0,0.0013703323055841042,0.0034258307639602604,0.0,0.0010277492291880781,0.00034258307639602604,0.0,0.0,0.0,0.0,0.0010277492291880781,0,0.0,0.0041109969167523125,0.0010277492291880781,0.0,0.0,0
щ,0,0.00034258307639602604,0.00034258307639602604,0.0,0.0,0.0,0.0,0.0,0.0013703323055841042,0.0013703323055841042,0.0010277492291880781,0.0,0.0,0.0034258307639602604,0.002398081534772182,0.0,0.0,0.002398081534772182,0.00034258307639602604,0.0,0.0,0.0010277492291880781,0.00034258307639602604,0.0,0.0006851661527920521,0.004796163069544364,0,0.0,0.0037684138403562863,0.0017129153819801302,0.0,0.0,0
ъ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
ы,0,0.0,0.0037684138403562863,0.0017129153819801302,0.0,0.0,0.0,0.0006851661527920521,0.0,0.0,0.0013703323055841042,0.0,0.0,0.007194244604316547,0.006851661527920521,0.0,0.0010277492291880781,0.0,0.0,0.0017129153819801302,0.00034258307639602604,0.0,0.0034258307639602604,0.0,0.00034258307639602604,0.0017129153819801302,0,0.0,0.0020554984583761563,0.003083247687564234,0.0,0.0,0
ь,0,0.0,0.00034258307639602604,0.0,0.0,0.006851661527920521,0.0,0.00034258307639602604,0.0006851661527920521,0.0,0.0013703323055841042,0.0010277492291880781,0.0,0.0,0.0,0.0,0.0010277492291880781,0.0034258307639602604,0.0,0.0,0.0,0.0010277492291880781,0.0075368276807125725,0.0,0.0006851661527920521,0.0010277492291880781,0,0.0,0.00034258307639602604,0.0,0.0,0.005481329222336417,0
э,0,0.0,0.0,0.0,0.0017129153819801302,0.0,0.0,0.0,0.007194244604316547,0.0,0.004796163069544364,0.00034258307639602604,0.0013703323055841042,0.0,0.0,0.0006851661527920521,0.0006851661527920521,0.0,0.0,0.0,0.00034258307639602604,0.00034258307639602604,0.0,0.0027406646111682084,0.0,0.0006851661527920521,0,0.0,0.0013703323055841042,0.0006851661527920521,0.0010277492291880781,0.0,0
ю,0,0.0,0.0006851661527920521,0.00034258307639602604,0.004453579993148339,0.0,0.0,0.0,0.006851661527920521,0.0010277492291880781,0.00034258307639602604,0.0,0.0,0.0,0.0,0.0,0.0,0.009592326139088728,0.0,0.0,0.00034258307639602604,0.0,0.0,0.0,0.0,0.0020554984583761563,0,0.0,0.0,0.0010277492291880781,0.0,0.00034258307639602604,0
я,0,0.003083247687564234,0.004453579993148339,0.0,0.0,0.0017129153819801302,0.0,0.0034258307639602604,0.0,0.00034258307639602604,0.0,0.0,0.0010277492291880781,0.0027406646111682084,0.0,0.0,0.0010277492291880781,0.004796163069544364,0.0,0.003083247687564234,0.00034258307639602604,0.0,0.00034258307639602604,0.0,0.0,0.0,0,0.0,0.007194244604316547,0.0020554984583761563,0.0,0.0051387461459403904,0
ё,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
