Symbol,Count,Frequency
ои,327,0.0008754316922335555
вн,294,0.0007870853746687013
уч,316,0.0008459829197119375
тс,516,0.0013814151473777207
гд,452,0.00121007683452467
ай,304,0.0008138569860519904
йд,87,0.0002329130190346157
ок,938,0.002511177147752523
бс,31,8.29919952881964e-05
уп,292,0.0007817310523920435
пя,109,0.00029181056407785185
ят,561,0.0015018873986025218
те,1808,0.00484030733809868
еб,619,0.001657162744625599
бя,207,0.0005541723556340856
ур,268,0.0007174791850721495
ач,316,0.0008459829197119375
пу,297,0.0007951168580836881
 у,1529,0.004093379380504913
уж,522,0.0013974781142076943
сш,22,5.889754504323615e-05
 л,1080,0.0028913340293952295
ке,207,0.0005541723556340856
йс,111,0.0002971648863545097
тв,520,0.0013921237919310363
йн,100,0.0002677161138328916
иб,157,0.0004203142987176398
дь,351,0.0009396835595534495
ый,631,0.001689288678285546
ьч,17,4.551173935159157e-05
иш,195,0.0005220464219741387
см,328,0.0008781088533718845
ры,555,0.0014858244317725484
оп,545,0.0014590528203892593
ад,662,0.0017722806735737423
дн,804,0.0021524375552164484
дв,298,0.000797794019222017
со,763,0.002042673948544963
ех,258,0.0006907075736888603
он,1630,0.004363772655476133
н ,1285,0.003440152062752657
пы,78,0.00020881856878965545
ыв,441,0.001180628062003052
га,406,0.00108692742216154
ам,1309,0.003504403930072551
ку,1093,0.0029261371241935054
ош,321,0.000859368725403582
жи,514,0.001376060825101063
аж,310,0.000829919952881964
жу,109,0.00029181056407785185
мн,550,0.0014724386260809039
гч,4,1.0708644553315663e-05
съ,8,2.1417289106631327e-05
ъе,30,8.031483414986748e-05
ез,440,0.001177950900864723
ир,206,0.0005514951944957567
рг,35,9.370063984151206e-05
ен,1681,0.004500307873530908
ня,550,0.0014724386260809039
дс,55,0.00014724386260809037
до,1295,0.003466923674135946
зе,245,0.0006559044788905844
мс,42,0.00011244076780981447
оч,681,0.0018231467352019918
ий,394,0.0010548014885015929
 а,530,0.0014188954033143254
лс,563,0.0015072417208791798
пл,259,0.0006933847348271892
чь,155,0.000414959976440982
лю,406,0.00108692742216154
юб,110,0.00029448772521618074
бе,816,0.0021845634888763956
зн,647,0.0017321232564988086
гн,140,0.00037480255936604825
ож,583,0.001560784943645758
ыт,175,0.00046850319920756033
сс,231,0.0006184242229539796
рд,107,0.000286456241801194
ап,401,0.0010735416164698952
дт,183,0.0004899204883141916
нч,35,9.370063984151206e-05
аб,329,0.0008807860145102134
ты,664,0.0017776349958504001
тд,44,0.0001177950900864723
ых,260,0.0006960618959655181
ха,396,0.0010601558107782507
сю,66,0.00017669263512970845
зи,88,0.0002355901801729446
ш ,49,0.00013118089577811689
яч,87,0.0002329130190346157
их,557,0.0014911787540492062
пч,27,7.228335073488073e-05
гр,413,0.0011056675501298424
б ,182,0.00048724332717586273
вл,149,0.0003988970096110085
