Symbol,Count,Frequency
о…,17,0.00010167950619646873
йр,31,0.0001854155701229724
е!,73,0.00043662376190248335
ьм,122,0.0007296999856452462
йи,34,0.00020335901239293747
лэ,5,2.990573711660845e-05
зл,50,0.0002990573711660845
ыу,24,0.00014354753815972056
рж,43,0.00025718933920283266
жж,5,2.990573711660845e-05
лг,72,0.0004306426144791617
а…,17,0.00010167950619646873
рс,32,0.0001913967175462941
кш,5,2.990573711660845e-05
цу,41,0.0002452270443561893
Гл,10,5.98114742332169e-05
Пс,1,5.98114742332169e-06
ёл,1,5.98114742332169e-06
ощ,30,0.0001794344226996507
зр,28,0.00016747212785300731
-з,10,5.98114742332169e-05
уо,29,0.000173453275276329
"в,",48,0.0002870950763194411
-к,14,8.373606392650366e-05
кз,16,9.569835877314705e-05
юш,15,8.971721134982534e-05
йг,45,0.00026915163404947603
бя,103,0.0006160581846021341
дш,26,0.00015550983300636394
аф,11,6.57926216565386e-05
щн,2,1.196229484664338e-05
бд,3,1.794344226996507e-05
кц,10,5.98114742332169e-05
Не,113,0.000675869658835351
сг,21,0.0001256040958897555
Кр,10,5.98114742332169e-05
лж,38,0.00022728360208622422
гс,18,0.00010766065361979042
Ай,2,1.196229484664338e-05
йш,19,0.00011364180104311211
ющ,23,0.00013756639073639887
.К,49,0.0002930762237427628
"
–",411,0.0024582515909852146
.–,132,0.0007895114598784631
Яб,4,2.392458969328676e-05
"!
",113,0.000675869658835351
–Ч,43,0.00025718933920283266
нп,33,0.00019737786496961578
рт,129,0.000771568017608498
г!,2,1.196229484664338e-05
–В,34,0.00020335901239293747
–с,106,0.0006340016268720992
Ст,50,0.0002990573711660845
–Н,50,0.0002990573711660845
ц!,12,7.177376907986028e-05
д!,3,1.794344226996507e-05
!Я,7,4.186803196325183e-05
цд,1,5.98114742332169e-06
!и,11,6.57926216565386e-05
!ч,8,4.784917938657352e-05
х…,5,2.990573711660845e-05
Ту,45,0.00026915163404947603
сх,44,0.0002631704866261544
Уд,1,5.98114742332169e-06
ыз,31,0.0001854155701229724
нб,21,0.0001256040958897555
бн,28,0.00016747212785300731
лч,38,0.00022728360208622422
лм,21,0.0001256040958897555
аэ,23,0.00013756639073639887
йя,9,5.383032680989521e-05
